Borough_name,Total_listings,More_than_90,Ratio_of_more_than_90,Borough_code
Westminster,7141,1680,0.2353,E09000033
Kensington and Chelsea,4324,904,0.2091,E09000020
Tower Hamlets,4191,1037,0.2474,E09000030
Camden,3831,919,0.2399,E09000007
Hackney,3241,705,0.2175,E09000012
Southwark,2917,720,0.2468,E09000028
Wandsworth,2803,522,0.1862,E09000032
Lambeth,2779,643,0.2314,E09000022
Islington,2576,596,0.2314,E09000019
Hammersmith and Fulham,2526,540,0.2138,E09000013
Brent,1913,373,0.195,E09000005
Barnet,1628,243,0.1493,E09000003
Lewisham,1625,276,0.1698,E09000023
Newham,1572,242,0.1539,E09000025
Ealing,1502,255,0.1698,E09000009
Haringey,1457,268,0.1839,E09000014
Greenwich,1402,237,0.169,E09000011
Waltham Forest,1167,166,0.1422,E09000031
Croydon,1167,193,0.1654,E09000008
Merton,933,101,0.1083,E09000024
Hounslow,879,122,0.1388,E09000018
Richmond upon Thames,832,152,0.1827,E09000027
Hillingdon,673,65,0.0966,E09000017
Redbridge,650,65,0.1,E09000026
Enfield,636,73,0.1148,E09000010
Bromley,576,90,0.1562,E09000006
Barking and Dagenham,485,68,0.1402,E09000002
Kingston upon Thames,480,84,0.175,E09000021
Bexley,441,39,0.0884,E09000004
City of London,421,142,0.3373,E09000001
Harrow,392,67,0.1709,E09000015
Havering,336,36,0.1071,E09000016
Sutton,285,39,0.1368,E09000029
